keap1_mutant,oof_probability
0.000000000000000000e+00,1.677250461570873319e-01
0.000000000000000000e+00,1.680988563041709016e-01
0.000000000000000000e+00,3.903793404401833533e-01
0.000000000000000000e+00,1.461750294484567836e-01
0.000000000000000000e+00,2.311532797005592110e-01
0.000000000000000000e+00,2.085487678398431632e-01
0.000000000000000000e+00,1.756042140043682087e-01
0.000000000000000000e+00,2.128891498822234329e-01
0.000000000000000000e+00,2.024914645351544307e-01
0.000000000000000000e+00,1.847844487428493276e-01
0.000000000000000000e+00,1.993561040372027193e-01
0.000000000000000000e+00,4.013434329463771988e-01
0.000000000000000000e+00,1.167327253936973203e-01
0.000000000000000000e+00,7.367268107019966927e-02
0.000000000000000000e+00,1.832114982238504941e-01
0.000000000000000000e+00,2.119428410603674262e-01
0.000000000000000000e+00,1.746765526711241412e-01
0.000000000000000000e+00,1.658408977754675662e-01
1.000000000000000000e+00,4.303717204674456509e-01
1.000000000000000000e+00,7.863539646662699445e-01
0.000000000000000000e+00,1.709811082780321734e-01
0.000000000000000000e+00,1.803645964606767904e-01
0.000000000000000000e+00,1.145652228634980174e-01
0.000000000000000000e+00,2.161268249154016663e-01
0.000000000000000000e+00,1.875620356325852500e-01
1.000000000000000000e+00,3.398089645574073336e-01
0.000000000000000000e+00,1.780497020854597823e-01
1.000000000000000000e+00,4.827602577953272189e-01
0.000000000000000000e+00,1.795134462711161782e-01
0.000000000000000000e+00,4.067170461393988523e-01
0.000000000000000000e+00,1.773068484569688130e-01
0.000000000000000000e+00,7.131333691509827988e-02
0.000000000000000000e+00,1.946343684343937452e-01
0.000000000000000000e+00,1.848047855986338084e-01
0.000000000000000000e+00,9.932790639621723316e-02
0.000000000000000000e+00,3.575176652541375288e-01
0.000000000000000000e+00,1.774704783898945204e-01
0.000000000000000000e+00,1.821738381256706729e-01
0.000000000000000000e+00,1.774956489189118969e-01
0.000000000000000000e+00,1.824061777273802698e-01
0.000000000000000000e+00,1.573467687795407355e-01
1.000000000000000000e+00,2.114613221642444030e-01
1.000000000000000000e+00,9.845112273612667275e-01
0.000000000000000000e+00,2.139257261522382603e-01
0.000000000000000000e+00,1.918480150385874217e-01
0.000000000000000000e+00,1.763797586099726811e-01
0.000000000000000000e+00,2.048006608992786470e-01
0.000000000000000000e+00,1.905037182562945297e-01
0.000000000000000000e+00,1.841724240934689560e-01
0.000000000000000000e+00,1.924962677456329985e-01
0.000000000000000000e+00,1.874513927690274473e-01
0.000000000000000000e+00,3.991173520474125547e-01
0.000000000000000000e+00,1.774048230371337576e-01
0.000000000000000000e+00,1.856268471182004332e-01
0.000000000000000000e+00,3.021407039040134232e-02
0.000000000000000000e+00,1.914792623926006021e-01
0.000000000000000000e+00,2.124996251054384611e-01
1.000000000000000000e+00,5.642910742735213203e-01
0.000000000000000000e+00,1.679139595326407663e-01
0.000000000000000000e+00,1.703182481225308798e-01
0.000000000000000000e+00,1.696887488618218920e-01
1.000000000000000000e+00,1.747645735345706441e-01
0.000000000000000000e+00,5.674338222722649649e-02
0.000000000000000000e+00,1.219094470261686547e-01
0.000000000000000000e+00,1.983196619362623536e-01
0.000000000000000000e+00,1.913529695312949364e-01
0.000000000000000000e+00,2.268398429294763707e-01
0.000000000000000000e+00,1.918422267135669324e-01
0.000000000000000000e+00,1.723194939790431424e-01
0.000000000000000000e+00,1.893662503056179613e-01
0.000000000000000000e+00,1.917112873300801656e-01
0.000000000000000000e+00,1.890088683895288779e-01
0.000000000000000000e+00,1.650933317868349959e-01
0.000000000000000000e+00,1.928635755857233680e-01
0.000000000000000000e+00,1.150367282101837085e-01
0.000000000000000000e+00,3.384164282853904804e-01
0.000000000000000000e+00,1.597539050424955365e-01
0.000000000000000000e+00,1.913833346889118603e-01
0.000000000000000000e+00,2.158683630046743240e-01
0.000000000000000000e+00,1.898739762605840264e-01
1.000000000000000000e+00,7.606293350711137435e-01
0.000000000000000000e+00,1.807137674323958665e-01
1.000000000000000000e+00,4.144897770716438057e-01
0.000000000000000000e+00,1.749788906937912725e-01
0.000000000000000000e+00,1.721406201188439011e-01
0.000000000000000000e+00,1.906718893947798033e-01
0.000000000000000000e+00,1.598685127854421462e-01
0.000000000000000000e+00,1.961520671920765624e-01
0.000000000000000000e+00,1.784276359493332242e-01
1.000000000000000000e+00,4.903489093209135730e-01
0.000000000000000000e+00,1.759645211998012715e-01
0.000000000000000000e+00,2.122085785966551785e-01
0.000000000000000000e+00,1.764499232186376165e-01
0.000000000000000000e+00,8.111916324648328624e-02
0.000000000000000000e+00,1.316306245548661269e-01
0.000000000000000000e+00,1.762379141770951951e-01
0.000000000000000000e+00,1.772592673528526619e-01
1.000000000000000000e+00,3.626327655270554784e-01
0.000000000000000000e+00,1.944547672352574808e-01
0.000000000000000000e+00,1.804431398575848389e-01
1.000000000000000000e+00,5.088936494863912641e-01
0.000000000000000000e+00,2.451718942130988177e-01
0.000000000000000000e+00,5.366353127400171757e-02
0.000000000000000000e+00,1.697866058418656121e-01
0.000000000000000000e+00,1.606736415828191877e-01
0.000000000000000000e+00,6.156152913976843666e-02
0.000000000000000000e+00,1.798868235866186438e-01
0.000000000000000000e+00,1.425414046400451940e-01
0.000000000000000000e+00,5.661619352917144493e-02
0.000000000000000000e+00,4.783590315382340030e-01
0.000000000000000000e+00,1.826268157775615131e-01
0.000000000000000000e+00,1.815460236429262963e-01
0.000000000000000000e+00,1.896239671086892009e-01
0.000000000000000000e+00,1.745481678490855004e-01
0.000000000000000000e+00,1.706172375175802614e-01
0.000000000000000000e+00,1.746559579061876810e-01
0.000000000000000000e+00,1.858844670949237610e-01
0.000000000000000000e+00,1.226725968390142141e-01
0.000000000000000000e+00,2.092280736175837486e-01
0.000000000000000000e+00,1.815222112318028991e-01
0.000000000000000000e+00,1.731263009271531705e-01
0.000000000000000000e+00,1.658061219103731943e-01
1.000000000000000000e+00,3.625878394533391669e-01
0.000000000000000000e+00,1.963583946989063411e-01
0.000000000000000000e+00,1.790241048538536162e-01
0.000000000000000000e+00,2.359120827066898407e-01
