keap1_mutant,oof_probability
0.000000000000000000e+00,5.108868179745360699e-02
0.000000000000000000e+00,1.803325164730495422e-01
1.000000000000000000e+00,3.739916784921378246e-01
1.000000000000000000e+00,7.341536680200806408e-01
1.000000000000000000e+00,2.868826906147312616e-01
0.000000000000000000e+00,1.896400739391231050e-01
0.000000000000000000e+00,9.233564044300421325e-02
0.000000000000000000e+00,1.750506693570382799e-01
0.000000000000000000e+00,1.723639644305805518e-01
0.000000000000000000e+00,9.588750969871930041e-02
1.000000000000000000e+00,3.884947308712984326e-01
1.000000000000000000e+00,4.579196540268858917e-01
1.000000000000000000e+00,2.631864172146464176e-01
0.000000000000000000e+00,1.730694937924078802e-01
1.000000000000000000e+00,7.324733064460691168e-01
1.000000000000000000e+00,6.101337905698354103e-01
0.000000000000000000e+00,1.783407124293296675e-01
0.000000000000000000e+00,8.152746242871378168e-02
0.000000000000000000e+00,1.724986347307148060e-01
0.000000000000000000e+00,1.934995035211982406e-01
1.000000000000000000e+00,2.204584289423406063e-01
0.000000000000000000e+00,1.905875178439415119e-01
0.000000000000000000e+00,1.799987098196368096e-01
0.000000000000000000e+00,1.772538624291744858e-01
1.000000000000000000e+00,9.896824478473317255e-01
0.000000000000000000e+00,1.800617542833069795e-01
0.000000000000000000e+00,1.924476762397289431e-01
0.000000000000000000e+00,2.555300074814325084e-01
1.000000000000000000e+00,1.746909186428480532e-01
0.000000000000000000e+00,3.984666734413571110e-01
0.000000000000000000e+00,2.037446781465354073e-01
0.000000000000000000e+00,2.634045410669541010e-01
0.000000000000000000e+00,2.720269567693349710e-01
0.000000000000000000e+00,1.829052388608521929e-01
0.000000000000000000e+00,1.725298009415932587e-01
1.000000000000000000e+00,4.080342995515920390e-01
1.000000000000000000e+00,3.622313069480417869e-01
0.000000000000000000e+00,1.836839517776319985e-01
0.000000000000000000e+00,9.475661947671802643e-02
0.000000000000000000e+00,1.887995410105406391e-01
0.000000000000000000e+00,1.889643147761154995e-01
0.000000000000000000e+00,1.841833677271295377e-01
0.000000000000000000e+00,2.256406858824028250e-01
